wed_ID;cmp_ID;cmp_Nummer;wed_Nummer;wed_ThuisPloeg;thuis_club;thuis_ploeg;wed_UitPloeg;uit_club;uit_ploeg;wed_Datum;wed_Tijd;szn_ID;plg_ID;spl_Voornaam;spl_tussen;spl_Achternaam;spl_GeboorteDatum;spl_Lengte;scu_Minuten;scu_FGM;scu_FGA;scu_3PM;scu_3PA;scu_FTM;scu_FTA;scu_Punten;scu_Fouten;scu_OffRebounds;scu_DefRebounds;scu_Assists;scu_Steals;scu_Blocks;scu_TurnOvers;wed_TeamOffRebThuis;wed_TeamOffRebUit;wed_TeamDefRebThuis;wed_TeamDefRebUit;wed_TeamStealThuis;wed_TeamStealUit;wed_TeamTurnOverThuis;wed_TeamTurnOverUit;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10895;1771;Arno;;Bunnig;1985-01-05;197;14;0;0;0;0;1;2;1;1;0;1;0;0;1;0;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10904;1771;Larry;;Cunningham;1985-01-16;190;33;3;7;3;8;5;5;20;0;1;4;1;2;1;7;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10902;1771;Larry;;Gordon;1987-04-18;196;31;8;11;0;2;5;6;21;4;1;5;2;2;0;6;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10896;1771;Jelte;;Helfferich;1985-03-08;200;7;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10897;1771;Jesper;;Jobse;1984-08-28;203;14;2;2;0;1;0;0;4;2;1;1;0;1;0;1;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10901;1771;Merlijn;van der;Meulen;1986-05-10;195;9;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10900;1771;Srdjan;;Mladenovic;1988-03-22;188;6;1;1;0;1;0;0;2;1;0;0;1;0;0;1;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10903;1771;Dario;;Ribeiro de Carvalho;1984-12-01;191;15;0;3;0;0;2;6;2;5;1;0;0;1;0;0;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10898;1771;Alexandre;de;Sa;1983-12-23;180;23;1;2;0;1;0;1;2;2;0;2;0;1;0;4;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10899;1771;Florian;de;Vries;1986-04-13;194;10;0;2;0;0;2;2;2;3;0;1;0;1;0;1;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10905;1771;Mike;;Williams;1985-11-19;201;38;5;7;0;0;4;8;14;3;3;3;2;2;1;6;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10894;8594;Matt;;Bauscher;1985-04-25;188;29;4;6;2;5;3;4;17;5;1;2;9;6;0;3;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10888;8594;Tim;;Blue;1984-06-10;205;31;12;15;1;3;5;8;32;3;5;4;1;0;1;1;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10887;8594;Robby;;Bostain;1984-03-16;191;30;7;8;0;0;8;9;22;4;1;3;6;7;0;2;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10891;8594;Jason;;Dourisseau;1983-12-07;196;27;7;11;0;0;1;1;15;3;2;0;3;3;0;1;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10890;8594;Jason;;Ellis;1982-12-16;201;26;6;10;0;0;0;0;12;5;5;6;4;4;0;4;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10885;8594;Mark Peter;;Hof;1990-01-02;197;3;0;0;1;1;0;0;3;1;0;0;0;0;0;1;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10892;8594;Matthew;;Otten;1981-12-08;196;15;0;3;0;0;0;2;0;1;0;3;0;1;0;0;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10889;8594;Aaron;;Roye;1988-04-03;182;22;2;2;0;2;1;2;5;1;1;1;5;4;0;4;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10886;8594;Bas;;Rozendaal;1986-03-01;212;15;3;4;0;0;1;2;7;1;0;7;0;0;0;1;0;1;0;1;1;2;1;1;
476805;421;B1000;AJ;8594;GasTerra Flames;HS 1;1771;Landstede Basketbal;HS 1;2009-09-30;19:30:00;10893;8594;Darian;;Townes;1984-07-31;208;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;2;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10968;2571;Rod;;Earls;1985-02-06;188;32;3;7;4;8;5;7;23;4;1;2;2;2;0;1;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10966;2571;Mitchel;;Kouwijzer;1987-03-16;184;19;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10970;2571;Elijah;;Palmer;1981-02-20;201;38;5;11;1;2;4;6;17;4;6;1;4;1;0;1;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10967;2571;Mark;;Porter;1986-05-15;183;29;1;5;0;3;0;0;2;1;0;1;2;1;1;8;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10969;2571;Kurtis;;Rice;1982-11-30;198;24;0;6;0;1;2;2;2;5;1;3;1;1;0;3;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10963;2571;Hugo;;Sterk;1982-05-01;193;20;1;2;1;5;0;0;5;2;0;2;1;2;0;1;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10964;2571;Bart;;Tooms;1983-04-26;211;4;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10965;2571;Niels;;Vorenhout;1980-03-17;202;34;0;0;1;4;2;4;5;5;1;9;2;2;1;0;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10951;3120;Andrew;;Dawson;1987-03-02;190;1;1;1;0;0;0;0;2;0;0;0;0;1;0;0;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10957;3120;Kizmahr;;Grell;1986-04-28;183;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10952;3120;Dimeo;van der;Horst;1991-06-23;190;11;2;2;0;0;1;2;5;0;0;2;1;0;0;0;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10961;3120;Hicham;;Kherrazi;1988-06-30;195;4;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10960;3120;Mohamed;;Kherrazi;1990-06-29;200;21;0;2;0;0;0;0;0;2;1;2;1;0;0;1;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10953;3120;Robert;;Krabbendam;1986-07-11;206;32;3;7;0;0;9;12;15;5;1;10;2;3;0;4;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10959;3120;Alton;;Mason;1977-08-02;186;24;2;5;1;4;5;7;12;3;0;2;3;1;0;1;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10962;3120;Ralf;de;Pagter;1989-07-22;200;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10954;3120;Sergio;de;Randamie;1984-07-05;201;33;4;4;0;0;1;3;9;1;0;2;2;2;0;2;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10958;3120;Chris;;Rodgers;1984-01-10;193;19;3;5;0;1;1;1;7;5;1;4;2;1;0;4;0;1;1;1;1;5;1;1;
476806;421;B1000;DG;3120;ABC Amsterdam;HS 1;2571;Basketball Stars Weert;HS 1;2009-10-03;20:00:00;10955;3120;Ramon;;Siljade;1983-01-18;199;15;0;0;3;5;0;0;9;4;2;1;0;0;0;0;0;1;1;1;1;5;1;1;
