wed_ID;cmp_ID;cmp_Nummer;wed_Nummer;wed_ThuisPloeg;thuis_club;thuis_ploeg;wed_UitPloeg;uit_club;uit_ploeg;wed_Datum;wed_Tijd;szn_ID;plg_ID;spl_Voornaam;spl_tussen;spl_Achternaam;spl_GeboorteDatum;spl_Lengte;scu_Minuten;scu_FGM;scu_FGA;scu_3PM;scu_3PA;scu_FTM;scu_FTA;scu_Punten;scu_Fouten;scu_OffRebounds;scu_DefRebounds;scu_Assists;scu_Steals;scu_Blocks;scu_TurnOvers;wed_TeamOffRebThuis;wed_TeamOffRebUit;wed_TeamDefRebThuis;wed_TeamDefRebUit;wed_TeamStealThuis;wed_TeamStealUit;wed_TeamTurnOverThuis;wed_TeamTurnOverUit;
49365;421;B1000;AC;3120;ABC Amsterdam;HS 1;228;CobraNova;HS 1;2000-12-14;19:30:00;2037;228;Patrick;;Curley;1974-11-26;198;31;3;6;1;3;4;8;13;3;0;3;2;5;0;5;0;0;0;0;0;0;0;0;
49365;421;B1000;AC;3120;ABC Amsterdam;HS 1;228;CobraNova;HS 1;2000-12-14;19:30:00;2126;228;John;;Delgado;1971-05-12;201;20;1;3;0;1;0;0;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;
49365;421;B1000;AC;3120;ABC Amsterdam;HS 1;228;CobraNova;HS 1;2000-12-14;19:30:00;2035;228;Levar;;Folk;1977-08-04;175;30;2;10;1;4;0;0;7;1;0;3;5;1;0;3;0;0;0;0;0;0;0;0;
49365;421;B1000;AC;3120;ABC Amsterdam;HS 1;228;CobraNova;HS 1;2000-12-14;19:30:00;2138;228;Sven;van;Haver;1981-09-18;196;14;0;1;0;0;0;2;0;2;0;1;1;2;0;2;0;0;0;0;0;0;0;0;
49365;421;B1000;AC;3120;ABC Amsterdam;HS 1;228;CobraNova;HS 1;2000-12-14;19:30:00;2040;228;Tobiah;;Hopper;1977-04-24;203;35;12;16;0;0;1;2;25;5;2;3;2;1;0;3;0;0;0;0;0;0;0;0;
49365;421;B1000;AC;3120;ABC Amsterdam;HS 1;228;CobraNova;HS 1;2000-12-14;19:30:00;2036;228;Mike;;Kroder;1975-11-06;195;23;2;6;0;0;0;3;4;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;
49365;421;B1000;AC;3120;ABC Amsterdam;HS 1;228;CobraNova;HS 1;2000-12-14;19:30:00;2140;228;Mike;;Majdzik;1980-09-28;;6;1;1;0;0;0;0;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
49365;421;B1000;AC;3120;ABC Amsterdam;HS 1;228;CobraNova;HS 1;2000-12-14;19:30:00;2039;228;Sergio;;Pang Atjok;1975-11-17;194;16;1;2;0;1;0;0;2;4;2;2;2;1;0;2;0;0;0;0;0;0;0;0;
49365;421;B1000;AC;3120;ABC Amsterdam;HS 1;228;CobraNova;HS 1;2000-12-14;19:30:00;2034;228;Bas;van;Willigen;1977-01-12;199;25;0;1;0;0;0;0;0;3;1;6;2;1;0;1;0;0;0;0;0;0;0;0;
49365;421;B1000;AC;3120;ABC Amsterdam;HS 1;228;CobraNova;HS 1;2000-12-14;19:30:00;2065;3120;Mario;;Bennes;1964-05-25;198;23;3;5;1;2;3;6;12;0;6;4;4;5;0;1;0;0;0;0;0;0;0;0;
