wed_ID;cmp_ID;cmp_Nummer;wed_Nummer;wed_ThuisPloeg;thuis_club;thuis_ploeg;wed_UitPloeg;uit_club;uit_ploeg;wed_Datum;wed_Tijd;szn_ID;plg_ID;spl_Voornaam;spl_tussen;spl_Achternaam;spl_GeboorteDatum;spl_Lengte;scu_Minuten;scu_FGM;scu_FGA;scu_3PM;scu_3PA;scu_FTM;scu_FTA;scu_Punten;scu_Fouten;scu_OffRebounds;scu_DefRebounds;scu_Assists;scu_Steals;scu_Blocks;scu_TurnOvers;wed_TeamOffRebThuis;wed_TeamOffRebUit;wed_TeamDefRebThuis;wed_TeamDefRebUit;wed_TeamStealThuis;wed_TeamStealUit;wed_TeamTurnOverThuis;wed_TeamTurnOverUit;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;13581;3103;Sam;de;Haas;1992-08-19;193;14;0;1;0;0;1;2;1;0;1;2;1;1;0;1;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;13052;3103;Daniel;;Jones;1979-05-12;199;26;2;5;0;2;2;6;6;3;1;5;0;1;0;2;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;13050;3103;Sebastian;;Lucic;1991-11-18;192;3;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;13047;3103;Srdjan;;Mladenovic;1988-03-22;188;4;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;13046;3103;Stefan;;Mladenovic;1990-06-28;185;30;5;8;1;4;4;5;17;4;0;3;1;2;0;2;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;13051;3103;Ralf;de;Pagter;1989-07-22;200;32;2;6;0;1;4;6;8;5;1;3;0;0;0;3;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;13236;3103;Tyrone;;Sally;1982-01-25;201;38;4;10;2;3;2;4;16;4;0;5;0;0;0;3;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;13045;3103;Rogillio;;Sewrattan;1988-07-08;174;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;13049;3103;Gian;;Slagter;1991-06-27;191;26;0;2;0;1;2;2;2;3;1;8;1;0;0;1;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;13048;3103;Leon;;Williams;1992-03-19;189;21;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;12965;8594;David;;Bell;1981-06-20;186;22;1;6;0;5;5;7;7;3;1;3;0;2;0;3;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;12968;8594;Bryan;;Defares;1981-06-14;192;31;4;6;0;1;0;0;8;3;0;3;3;2;0;2;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;12960;8594;Jason;;Dourisseau;1983-12-07;196;27;1;8;0;3;0;2;2;3;7;4;3;1;0;0;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;12966;8594;Kevin;;McCleery;1970-01-01;203;6;1;2;0;0;0;0;2;3;2;2;0;0;0;0;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;12959;8594;Sergio;de;Randamie;1984-07-05;201;20;3;9;0;0;0;3;6;2;3;1;1;2;0;1;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;12964;8594;Max;van;Schaik;1991-06-28;208;5;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;2;2;5;1;6;0;2;
557253;421;B1000;AJ;8594;GasTerra Flames;HS 1;3103;Rotterdam Basketbal;HS 1;2011-12-04;15:00:00;12961;8594;Ties;;Theeuwkens;1985-01-15;190;16;2;6;0;1;0;1;4;1;2;1;0;1;0;0;0;2;2;5;1;6;0;2;
